school_year,num_of_sems,country,university,department
2021,2,France,Lille Catholic University,Department of Accounting
2021,1,US,The California State University (CSU),Department of Finance
2021,2,Switzerland,University of Zurich,Department of Finance
2021,2,Japan,Nagasaki University,Department of Finance
2021,1,Netherlands,Maastricht University,Department of Finance
2021,2,Japan,Keio University,Department of International Business
2021,2,US,University of Connecticut (UConn),Department of International Business
2021,1,US,The California State University (CSU),Department of International Business
2021,2,US,University of California,Department of International Business
2021,1,Hungary,Corvinus University of Budapest,Department of Public Health
2021,2,Germany,Technical University of Munich,Department of Computer Science and Information Engineering
2021,2,Japan,Tokyo University of Foreign Studies,Department of Chinese Literature
2021,2,France,University Jean Moulin - Lyon 3,Department of Foreign Languages and Literatures
2021,1,Netherlands,Leiden University,Department of Foreign Languages and Literatures
2021,2,New Zealand,The University of Auckland,Department of Foreign Languages and Literatures
2021,1,Japan,Meiji University,Department of Foreign Languages and Literatures
2021,2,Germany,Ludwig Maximilian University of Munich,Department of Foreign Languages and Literatures
2021,2,Germany,University of Tubingen,Department of Foreign Languages and Literatures
2021,2,Denmark,University of Copenhagen,Department of Anthropology
2021,2,Germany,University of Tubingen,Department of Political Science
2021,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Political Science
2021,2,US,University of California,Department of Economics
2021,2,Singapore,Singapore Management University,Department of Accounting
2021,1,Netherlands,Maastricht University,Department of Finance
2021,2,US,University of California,Department of Finance
2021,2,Netherlands,Utrecht University,Department of International Business
2021,2,Germany,Ludwig Maximilian University of Munich,Department of Accounting
2021,2,Japan,Nagoya University of Foreign Studies,Department of Business Administration
2021,2,Germany,University of Hamburg,Department of Business Administration
2021,1,Singapore,Nanyang Technological University,Department of Civil Engineering
2021,2,Netherlands,VU University Amsterdam,Department of Library and Information Science
2021,2,Netherlands,Utrecht University,Department of Geography
2021,1,US,The University of Utah (U of U),Department of International Business
2021,1,Switzerland,University of Lausanne,Department of Foreign Languages and Literatures
2021,1,Japan,Meiji University,Department of Japanese Language and Literature
2021,1,US,The California State University (CSU),Department of International Business
2021,2,Japan,University of the Ryukyus,Department of Japanese Language and Literature
2021,2,Austria,University of Vienna,Department of Political Science
2021,2,Japan,Kyoto University,Department of Japanese Language and Literature
2021,1,US,University of Washington,Department of Public Health
2020,1,Japan,University of Tsukuba,Department of Agronomy
2020,1,Thailand,Thammasat University,Department of Business Administration
2020,2,Denmark,University of Copenhagen,Department of Business Administration
2020,1,Japan,Ritsumeikan University,Department of Accounting
2020,1,Spain,Pompeu Fabra University,Department of Accounting
2020,1,Germany,University of Konstanz,Department of Sociology
2020,1,Japan,Sophia University,Department of Japanese Language and Literature
2020,1,Japan,Nagoya University of Foreign Studies,Department of Japanese Language and Literature
2020,2,Italy,University of Bologna,Department of Chinese Literature
2020,1,Luxembourg,University of Luxembourg,Department of History
2020,1,Japan,University of the Ryukyus,Department of Occupational Therapy
2020,1,Latvia,University of Latvia,Department of Finance
2020,1,Germany,Humboldt-University Berlin,Department of Bio-Industry Communication and Development
2020,1,Spain,University of Barcelona,Department of Chinese Literature
2020,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Foreign Languages and Literatures
2020,1,Spain,Autonomous University of Barcelona,Department of Foreign Languages and Literatures
2020,1,Italy,University of Bologna,Department of Foreign Languages and Literatures
2020,1,Spain,Autonomous University of Madrid,Department of Foreign Languages and Literatures
2020,2,Turkey,Bilkent University,Department of History
2020,1,China,Shanghai Jiao Tong University,Department of Philosophy
2020,1,Hungary,Eötvös Loránd University,Department of Library and Information Science
2020,1,Netherlands,Maastricht University,Department of Library and Information Science
2020,1,Japan,Kwansei Gakuin University,Department of Japanese Language and Literature
2020,2,Japan,Soka University,Department of Japanese Language and Literature
2020,1,Japan,Nagoya University,Department of Japanese Language and Literature
2020,1,Japan,Okayama University,Department of Japanese Language and Literature
2020,2,Germany,University of Tubingen,Department of Japanese Language and Literature
2020,1,Japan,Kwansei Gakuin University,Department of Japanese Language and Literature
2020,2,Japan,Kanazawa University,Department of Drama and Theatre
2020,2,Austria,University of Vienna,Department of Physics
2020,1,Japan,Doshisha University,Department of Physics
2020,1,Germany,RWTH Aachen University,Department of Chemistry
2020,1,Lithuania,Kaunas University of Technology,Department of Chemistry
2020,1,Netherlands,Maastricht University,Department of Psychology
2020,1,Turkey,Bogazici University,Department of Economics
2020,1,Italy,University of Bologna,Department of Political Science
2020,1,Japan,Okayama University,Department of Political Science
2020,1,France,University of Bordeaux,Department of Political Science
2020,1,Hungary,Eötvös Loránd University,Department of Political Science
2020,2,France,Lille Catholic University,Department of Economics
2020,1,South Korea,Pusan National University,Department of Sociology
2020,2,Canada,University of Ottawa,Department of Sociology
2020,1,Hong Kong,The Hang Seng University of Hong Kong,Department of Sociology
2020,1,Finland,University of Helsinki,Department of Psychology
2020,1,Japan,Aoyama Gakuin University,Department of Social Work
2020,2,Czechia,Masaryk University,Department of Dentistry
2020,2,Spain,Pompeu Fabra University,Department of Foreign Languages and Literatures
2020,1,US,University of Georgia,Department of Civil Engineering
2020,1,Sweden,KTH Royal Institute of Technology,Department of Mechanical Engineering
2020,1,Poland,Warsaw University of Technology,Department of Mechanical Engineering
2020,1,Japan,Osaka University,Department of Mechanical Engineering
2020,2,Japan,Kanazawa University,Department of Mechanical Engineering
2020,1,Germany,RWTH Aachen University,Department of Mechanical Engineering
2020,2,Germany,Technical University of Berlin,Department of Mechanical Engineering
2020,1,Japan,Yokohama National University,Department of Engineering Science and Ocean Engineering
2020,1,Italy,University of Bologna,Department of Forestry and Resource Conservation
2020,1,China,Nankai University,Department of Forestry and Resource Conservation
2020,1,China,Shanghai Jiao Tong University,Department of Animal Science and Technology
2020,1,France,University of Paris Ouest - Nanterre La Défense,Department of Agricultural Economics
2020,1,Japan,Kyushu University,Department of Horticultural Science
2020,1,China,Shanghai Jiao Tong University,Department of Horticultural Science
2020,1,South Korea,Korea University,Department of Horticultural Science
2020,1,US,The University of Scranton,Department of Bio-Industry Communication and Development
2020,1,US,The University of North Carolina at Chapel Hill (UNC),Department of Bio-industrial Mechatronics Engineering
2020,1,Japan,Hitotsubashi University,Department of Bio-industrial Mechatronics Engineering
2020,1,Germany,University of Hamburg,Department of Business Administration
2020,1,Switzerland,University of St. Gallen,Department of Business Administration
2020,2,Thailand,Mahidol University,Department of Finance
2020,1,Germany,University of Tubingen,Department of Finance
2020,1,Poland,University of Warsaw,Department of International Business
2020,1,Sweden,Linköping University,Department of International Business
2020,1,Netherlands,Maastricht University,Department of Public Health
2020,1,Sweden,KTH Royal Institute of Technology,Department of Electrical Engineering
2020,1,Singapore,National University of Singapore,Department of Computer Science and Information Engineering
2020,1,Spain,Technical University of Madrid,Department of Computer Science and Information Engineering
2020,2,Japan,Akita International University,Department of Chinese Literature
2020,1,Japan,University of Tsukuba,Department of Chinese Literature
2020,2,Japan,Akita International University,Department of Foreign Languages and Literatures
2020,1,France,University Jean Moulin - Lyon 3,Department of History
2020,2,UK,Queen Mary University of London,Department of History
2020,2,Denmark,Aarhus University,Department of Philosophy
2020,1,Netherlands,Radboud University Nijmegen,Department of Anthropology
2020,1,Japan,University of Tsukuba,Department of Japanese Language and Literature
2020,1,Germany,University of Mannheim,Department of Japanese Language and Literature
2020,1,Japan,University of Tsukuba,Department of Physics
2020,1,Sweden,Linköping University,Department of Psychology
2020,1,Japan,Hokkaido University,Department of Political Science
2020,2,Japan,Osaka University,Department of Political Science
2020,1,Germany,Technical University of Berlin,Department of Economics
2020,1,Sweden,Linköping University,Department of Sociology
2020,1,Japan,Tokyo Institute of Technology,Department of Mechanical Engineering
2020,1,Japan,Tohoku University,Department of Mechanical Engineering
2020,1,Germany,Technical University of Munich,Department of Chemical Engineering
2020,1,Germany,Friedrich-Alexander - University Erlangen-Nurnberg,Department of Chemical Engineering
2020,1,Australia,The University of Melbourne,Department of Accounting
2020,1,US,The University of North Carolina at Chapel Hill (UNC),Department of Animal Science and Technology
2020,1,Poland,University of Warsaw,Department of Business Administration
2020,1,China,Peking University,Department of Business Administration
2020,1,Switzerland,University of St. Gallen,Department of Finance
2020,1,Spain,Pompeu Fabra University,Department of Finance
2020,1,Japan,Hitotsubashi University,Department of Finance
2020,1,China,Peking University,Department of International Business
2020,1,Japan,University of Tsukuba,Department of Computer Science and Information Engineering
2020,1,Sweden,Uppsala University,Department of Law
2020,1,Germany,University of Tubingen,Department of Law
2020,1,China,Peking University,Department of Biochemical Science and Technology
2020,1,Sweden,Umeå University,Department of Biochemical Science and Technology
2020,1,Singapore,National University of Singapore,Department of Political Science
2020,1,UK,University of Manchester,Department of Civil Engineering
2020,2,South Korea,Yonsei University,Department of Mechanical Engineering
2020,2,Germany,Humboldt-University Berlin,Department of Agronomy
2020,1,Netherlands,Maastricht University,Department of Finance
2020,2,Slovenia,University of Ljubljana,Department of Information Management
2020,1,China,Nankai University,Department of International Business
2020,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Foreign Languages and Literatures
2020,1,South Korea,Ewha Womans University,Department of Economics
2020,1,South Korea,Hanyang University,Department of Drama and Theatre
2020,2,South Korea,Sungkyunkwan University,Department of Foreign Languages and Literatures
2020,1,China,Peking University,Department of Chinese Literature
2020,2,UK,University of Manchester,Department of Foreign Languages and Literatures
2020,1,Japan,Sophia University,Department of Finance
2020,2,UK,University of Edinburgh,Department of Foreign Languages and Literatures
2020,1,Germany,University of Münster,Department of Horticultural Science
2020,1,Germany,RWTH Aachen University,Department of Foreign Languages and Literatures
2020,1,Germany,Karlsruhe Institute of Technology,Department of Chemical Engineering
2020,1,South Korea,Seoul National University,Department of Political Science
2020,2,Netherlands,University of Groningen,Department of Foreign Languages and Literatures
2020,1,US,Oregon State University,Department of Forestry and Resource Conservation
2020,1,Singapore,National University of Singapore,Department of Library and Information Science
2020,1,Germany,RWTH Aachen University,Department of Computer Science and Information Engineering
2020,1,Spain,Autonomous University of Barcelona,Department of History
2020,2,Germany,Friedrich-Alexander - University Erlangen-Nurnberg,Department of Political Science
2020,1,Germany,Karlsruhe Institute of Technology,Department of Geography
2020,1,China,Shanghai Jiao Tong University,Department of Civil Engineering
2020,1,China,Peking University,Department of Anthropology
2020,2,Sweden,Uppsala University,Department of Bio-industrial Mechatronics Engineering
2020,2,South Korea,Hanyang University,Department of Chinese Literature
2020,1,Germany,University of Stuttgart,Department of Foreign Languages and Literatures
2020,1,China,Tsinghua University,Department of Chemical Engineering
2020,1,Singapore,National University of Singapore,Department of Foreign Languages and Literatures
2020,1,France,University of Paris Ouest - Nanterre La Défense,Department of Psychology
2020,1,Germany,University of Mannheim,Department of Political Science
2020,1,Germany,University of Münster,Department of Foreign Languages and Literatures
2020,1,Singapore,National University of Singapore,Department of Bio-Industry Communication and Development
2020,2,Japan,Sophia University,Department of Accounting
2020,1,Japan,University of Tsukuba,Department of Finance
2020,1,China,Shanghai Jiao Tong University,Department of Agronomy
2020,1,China,Shanghai Jiao Tong University,Department of Bio-industrial Mechatronics Engineering
2020,1,China,Peking University,Department of Information Management
2020,1,China,Peking University,Department of Political Science
2019,2,Singapore,National University of Singapore,Department of Sociology
2019,2,Japan,Akita International University,Department of Library and Information Science
2019,1,Japan,Hitotsubashi University,Department of Political Science
2019,2,France,University Jean Moulin - Lyon 3,Department of Foreign Languages and Literatures
2019,2,Singapore,National University of Singapore,Department of Chinese Literature
2019,2,Sweden,Linköping University,Department of Sociology
2019,1,Finland,University of Helsinki,Department of Sociology
2019,1,Turkey,Middle East Technical University (METU),Department of Entomology
2019,1,Czechia,Charles University,Department of Foreign Languages and Literatures
2019,2,Germany,University of Bonn,Department of Law
2019,1,Netherlands,Maastricht University,Department of Psychology
2019,1,US,North Carolina State University (NC State),Department of Veterinary Medicine
2019,1,Malaysia,Universiti Tunku Abdul Rahman,Department of Drama and Theatre
2019,1,Malaysia,Universiti Sains Malaysia,Department of Mathematics
2019,1,Germany,University of Mannheim,Department of Political Science
2019,1,Turkey,Middle East Technical University (METU),Department of Social Work
2019,1,Sweden,Umeå University,Department of Medicine
2019,1,China,Beihang University,Department of Medicine
2019,2,US,University of South Carolina (UofSC),Department of Veterinary Medicine
2019,2,Germany,Friedrich-Alexander - University Erlangen-Nurnberg,Department of Entomology
2019,2,Austria,University of Vienna,Department of Chinese Literature
2019,1,Japan,Keio University,Department of Chinese Literature
2019,1,China,Peking University,Department of Chinese Literature
2019,1,Germany,Ruhr-University Bochum,Department of Foreign Languages and Literatures
2019,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Finance
2019,1,Germany,University of Tubingen,Department of Foreign Languages and Literatures
2019,1,Spain,Pompeu Fabra University,Department of Foreign Languages and Literatures
2019,1,Canada,University of Toronto,Department of Foreign Languages and Literatures
2019,1,US,The University of North Carolina at Chapel Hill (UNC),Department of Foreign Languages and Literatures
2019,1,Spain,Pompeu Fabra University,Department of Foreign Languages and Literatures
2019,1,Austria,Johannes Kepler University of Linz,Department of Foreign Languages and Literatures
2019,1,Australia,Griffith University,Department of Foreign Languages and Literatures
2019,2,South Korea,Hanyang University,Department of Foreign Languages and Literatures
2019,1,Germany,University of Tubingen,Department of Foreign Languages and Literatures
2019,1,South Korea,Ewha Womans University,Department of Foreign Languages and Literatures
2019,1,France,University of Rennes 1,Department of Foreign Languages and Literatures
2019,1,Italy,Catholic University of the Sacred Heart,Department of Foreign Languages and Literatures
2019,1,Germany,University of Freiburg,Department of Foreign Languages and Literatures
2019,2,Canada,The University of British Columbia (UBC),Department of Foreign Languages and Literatures
2019,1,US,The University of North Carolina at Chapel Hill (UNC),Department of Foreign Languages and Literatures
2019,1,Germany,University of Mannheim,Department of Foreign Languages and Literatures
2019,1,Netherlands,Maastricht University,Department of Foreign Languages and Literatures
2019,1,Portugal,University of Porto,Department of Foreign Languages and Literatures
2019,1,China,Renmin University of China,Department of History
2019,1,Turkey,Koç University,Department of Economics
2019,1,Spain,University of Barcelona,Department of Political Science
2019,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Philosophy
2019,1,Italy,Catholic University of the Sacred Heart,Department of Philosophy
2019,1,China,Nanjing University,Department of Anthropology
2019,1,China,Nanjing University,Department of Anthropology
2019,1,Japan,Doshisha University,Department of Library and Information Science
2019,2,Singapore,Singapore Management University,Department of Library and Information Science
2019,1,Singapore,Singapore Management University,Department of Library and Information Science
2019,2,Netherlands,Utrecht University,Department of Business Administration
2019,1,Denmark,Aarhus University,Department of Library and Information Science
2019,1,Japan,Soka University,Department of Japanese Language and Literature
2019,2,Japan,University of the Ryukyus,Department of Japanese Language and Literature
2019,2,Sweden,Linköping University,Department of Japanese Language and Literature
2019,1,Japan,Kansai University,Department of Japanese Language and Literature
2019,2,Japan,Nagoya University of Foreign Studies,Department of Japanese Language and Literature
2019,1,Switzerland,University of Lausanne,Department of Economics
2019,2,Japan,University of Tokyo,Department of Japanese Language and Literature
2019,2,Japan,Akita International University,Department of Japanese Language and Literature
2019,2,Japan,University of Tsukuba,Department of Japanese Language and Literature
2019,2,Japan,Nagasaki University,Department of Japanese Language and Literature
2019,1,Czechia,Masaryk University,Department of Mathematics
2019,2,Japan,Tohoku University,Department of Mathematics
2019,1,South Korea,Seoul National University,Department of Chemistry
2019,2,France,Sorbonne University ( University Pierre and Marie CURIE ),Department of Chemistry
2019,1,Japan,Nagasaki University,Department of Geosciences
2019,1,Australia,The University of New South Wales,Department of Geosciences
2019,1,Netherlands,Maastricht University,Department of Psychology
2019,1,Netherlands,Leiden University,Department of Psychology
2019,1,Malaysia,Universiti Sains Malaysia,Department of Geography
2019,2,Germany,Free University of Berlin,Department of Finance
2019,1,Germany,Ulm University,Department of Geography
2019,1,Sweden,Uppsala University,Department of Geography
2019,2,Japan,Tokyo Gakugei University,Department of Geography
2019,1,US,The California State University (CSU),Department of Political Science
2019,1,US,The University of Scranton,Department of Economics
2019,1,Spain,University of Barcelona,Department of Political Science
2019,1,Spain,Complutense University of Madrid,Department of Political Science
2019,1,Canada,Simon Fraser University (SFU),Department of Political Science
2019,1,US,The University of Utah (U of U),Department of Accounting
2019,1,Germany,University of Mannheim,Department of Political Science
2019,2,Japan,University of Tokyo,Department of Economics
2019,1,France,University Jean Moulin - Lyon 3,Department of Economics
2019,1,France,University Jean Moulin - Lyon 3,Department of Economics
2019,1,Luxembourg,University of Luxembourg,Department of Economics
2019,1,France,University of Bordeaux,Department of Economics
2019,1,Finland,University of Helsinki,Department of Sociology
2019,1,China,Chongqing University,Department of Sociology
2019,2,Iceland,University of Iceland,Department of Sociology
2019,2,Japan,Yokohama National University,Department of Sociology
2019,1,Ireland,University College Dublin,Department of Library and Information Science
2019,1,US,The University of Scranton,Department of Dentistry
2019,1,Canada,University of Victoria,Department of Physical Therapy
2019,2,Australia,Monash University,Department of Civil Engineering
2019,1,Sweden,Linköping University,Department of Mechanical Engineering
2019,1,Germany,Technical University of Darmstadt,Department of Mechanical Engineering
2019,1,Sweden,Linköping University,Department of Mechanical Engineering
2019,2,Germany,Karlsruhe Institute of Technology,Department of Mechanical Engineering
2019,1,Singapore,Nanyang Technological University,Department of Mechanical Engineering
2019,1,Germany,University of Hamburg,Department of Mechanical Engineering
2019,2,Germany,TU Dortmund University,Department of Mechanical Engineering
2019,2,Germany,University of Stuttgart,Department of Mechanical Engineering
2019,1,Sweden,Linköping University,Department of Electrical Engineering
2019,1,Germany,Technical University of Munich,Department of Mechanical Engineering
2019,1,Germany,RWTH Aachen University,Department of Mechanical Engineering
2019,2,Germany,University of Stuttgart,Department of Mechanical Engineering
2019,1,Sweden,Lund University,Department of Engineering Science and Ocean Engineering
2019,1,Norway,University of Oslo,Department of Engineering Science and Ocean Engineering
2019,1,Sweden,KTH Royal Institute of Technology,Department of Electrical Engineering
2019,2,Japan,Nagoya University,Department of Materials Science and Engineering
2019,1,China,Renmin University of China,Department of Bioenvironmental Systems Engineering
2019,2,Japan,University of the Ryukyus,Department of Bioenvironmental Systems Engineering
2019,2,Germany,University of Hamburg,Department of Forestry and Resource Conservation
2019,1,China,Zhejiang Univeristy,Department of Forestry and Resource Conservation
2019,1,Netherlands,Leiden University,Department of Psychology
2019,1,Japan,Kyoto University,Department of Forestry and Resource Conservation
2019,2,Canada,The University of British Columbia (UBC),Department of Forestry and Resource Conservation
2019,1,New Zealand,University of Canterbury,Department of Forestry and Resource Conservation
2019,2,Japan,University of the Ryukyus,Department of Forestry and Resource Conservation
2019,2,South Korea,Yonsei University,Department of Economics
2019,2,US,University of Hawai‘i at Mānoa (UHM),Department of Veterinary Medicine
2019,2,Hong Kong,The Chinese University of Hong Kong,Department of Bio-Industry Communication and Development
2019,2,US,University of California,Department of Bio-Industry Communication and Development
2019,1,China,Harbin Institute of Technology,Department of Bio-Industry Communication and Development
2019,1,China,Shanghai Jiao Tong University,Department of Bio-Industry Communication and Development
2019,1,Singapore,Nanyang Technological University,Department of Bio-Industry Communication and Development
2019,2,Japan,University of Tsukuba,Department of Bio-Industry Communication and Development
2019,2,Japan,Akita International University,Department of Bio-Industry Communication and Development
2019,1,Japan,Hokkaido University,Department of Bio-Industry Communication and Development
2019,1,Germany,Ruhr-University Bochum,Department of Mechanical Engineering
2019,2,Japan,Kanazawa University,Department of Entomology
2019,1,China,Shanghai Jiao Tong University,Department of Business Administration
2019,1,Hong Kong,The Hong Kong Polytechnic University,Department of Business Administration
2019,1,France,University of Paris Ouest - Nanterre La Défense,Department of Accounting
2019,2,South Korea,Ewha Womans University,Department of Accounting
2019,2,Japan,Ritsumeikan University,Department of Finance
2019,2,South Korea,Hanyang University,Department of Finance
2019,1,Spain,University of Barcelona,Department of International Business
2019,1,Germany,Ruhr-University Bochum,Department of Electrical Engineering
2019,2,US,University of Wisconsin-Madison,Department of Electrical Engineering
2019,1,Singapore,Nanyang Technological University,Department of Computer Science and Information Engineering
2019,1,Poland,University of Warsaw,Department of Law
2019,1,Japan,Nihon University,Department of Life Science
2019,2,US,University of California,Department of Life Science
2019,2,Canada,Université Laval,Department of Biochemical Science and Technology
2019,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Chinese Literature
2019,1,Spain,Autonomous University of Madrid,Department of Chinese Literature
2019,1,China,Beijing Normal University,Department of Chinese Literature
2019,1,Germany,University of Mannheim,Department of Foreign Languages and Literatures
2019,1,Canada,Queen's University,Department of Foreign Languages and Literatures
2019,2,UK,University of Manchester,Department of Foreign Languages and Literatures
2019,1,Spain,Autonomous University of Madrid,Department of Foreign Languages and Literatures
2019,1,Canada,University of Ottawa,Department of Foreign Languages and Literatures
2019,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Foreign Languages and Literatures
2019,1,UK,University of Manchester,Department of Foreign Languages and Literatures
2019,2,Turkey,Bilkent University,Department of Foreign Languages and Literatures
2019,1,Germany,University of Tubingen,Department of Foreign Languages and Literatures
2019,1,UK,University of Southampton,Department of Foreign Languages and Literatures
2019,2,UK,University of Manchester,Department of Foreign Languages and Literatures
2019,1,US,University of California,Department of Foreign Languages and Literatures
2019,2,Germany,University of Mannheim,Department of Foreign Languages and Literatures
2019,1,Spain,University of Salamanca,Department of Foreign Languages and Literatures
2019,2,Japan,University of the Ryukyus,Department of History
2019,2,Germany,University of Mannheim,Department of History
2019,1,Australia,The University of Queensland,Department of Foreign Languages and Literatures
2019,2,Denmark,University of Copenhagen,Department of Anthropology
2019,1,Netherlands,Radboud University Nijmegen,Department of Anthropology
2019,1,Canada,University of Toronto,Department of Bio-Industry Communication and Development
2019,2,Japan,Waseda University,Department of Accounting
2019,1,Japan,University of Tsukuba,Department of Library and Information Science
2019,1,Thailand,Chulalongkorn University,Department of Library and Information Science
2019,2,Lithuania,Vilnius University,Department of Library and Information Science
2019,2,Japan,Tokyo Gakugei University,Department of Japanese Language and Literature
2019,1,France,University of Rennes 1,Department of Japanese Language and Literature
2019,2,Japan,Kyoto University,Department of Japanese Language and Literature
2019,2,Japan,University of Tokyo,Department of Japanese Language and Literature
2019,2,Japan,Tokyo University of Foreign Studies,Department of Japanese Language and Literature
2019,2,Japan,Osaka University,Department of Japanese Language and Literature
2019,2,Japan,Hiroshima University,Department of Japanese Language and Literature
2019,2,Japan,Sophia University,Department of Japanese Language and Literature
2019,2,Japan,Meiji University,Department of Japanese Language and Literature
2019,2,Japan,University of the Ryukyus,Department of Japanese Language and Literature
2019,1,Japan,Kyoto University,Department of Japanese Language and Literature
2019,2,Japan,Ochanomizu University,Department of Japanese Language and Literature
2019,2,Japan,Kyushu University,Department of Japanese Language and Literature
2019,2,Japan,University of Tokyo,Department of Japanese Language and Literature
2019,1,Singapore,Nanyang Technological University,Department of Psychology
2019,1,Netherlands,Maastricht University,Department of Psychology
2019,1,South Korea,Pusan National University,Department of Psychology
2019,2,Austria,Johannes Kepler University of Linz,Department of Psychology
2019,1,China,Peking University,Department of Finance
2019,1,Sweden,Lund University,Department of Political Science
2019,1,UK,University of Sussex,Department of Political Science
2019,1,China,Peking University,Department of Political Science
2019,1,Poland,University of Warsaw,Department of Political Science
2019,1,Canada,University of Ottawa,Department of Political Science
2019,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Political Science
2019,1,South Korea,Hanyang University,Department of Accounting
2019,1,China,Fudan University,Department of Political Science
2019,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Economics
2019,2,Germany,University of Hamburg,Department of Economics
2019,1,Singapore,Singapore Management University,Department of Economics
2019,1,Hong Kong,City University of Hong Kong,Department of Economics
2019,1,Canada,Simon Fraser University (SFU),Department of Economics
2019,1,Switzerland,University of Lausanne,Department of Economics
2019,1,Thailand,Chulalongkorn University,Department of Economics
2019,1,Finland,University of Helsinki,Department of Sociology
2019,1,Netherlands,Maastricht University,Department of Psychology
2019,2,UK,University of Kent,Department of Social Work
2019,1,Japan,University of Tsukuba,Department of Civil Engineering
2019,2,Canada,University of Toronto,Department of Mechanical Engineering
2019,2,Japan,Kobe University,Department of Mechanical Engineering
2019,2,Japan,Hokkaido University,Department of Mechanical Engineering
2019,1,Germany,RWTH Aachen University,Department of Mechanical Engineering
2019,2,Japan,Tokyo Institute of Technology,Department of Mechanical Engineering
2019,1,Sweden,Linköping University,Department of Mechanical Engineering
2019,2,US,Arizona State University,Department of Mechanical Engineering
2019,1,Japan,Sophia University,Department of Engineering Science and Ocean Engineering
2019,1,US,University of California,Department of Materials Science and Engineering
2019,1,Singapore,National University of Singapore,Department of Materials Science and Engineering
2019,1,Germany,Friedrich-Alexander - University Erlangen-Nurnberg,Department of Agronomy
2019,1,Denmark,University of Copenhagen,Department of Agricultural Economics
2019,2,US,University of South Carolina (UofSC),Department of Horticultural Science
2019,2,US,University of Washington,Department of Bio-Industry Communication and Development
2019,2,France,Lille Catholic University,Department of Bio-Industry Communication and Development
2019,2,US,University of California,Department of Economics
2019,1,Finland,University of Helsinki,Department of Bio-Industry Communication and Development
2019,1,France,Lille Catholic University,Department of Bio-Industry Communication and Development
2019,2,Italy,University of Bologna,Department of Bio-Industry Communication and Development
2019,1,Singapore,Nanyang Technological University,Department of Bio-industrial Mechatronics Engineering
2019,1,Netherlands,Radboud University Nijmegen,Department of Bio-industrial Mechatronics Engineering
2019,1,Hong Kong,The Chinese University of Hong Kong,Department of Business Administration
2019,1,Japan,Hitotsubashi University,Department of Business Administration
2019,1,Spain,Autonomous University of Madrid,Department of Business Administration
2019,1,US,Arizona State University,Department of Business Administration
2019,1,Singapore,Yale-NUS College,Department of Business Administration
